gender,noun,plural,translation
das,Wartezimmer,-,the waiting room
der,Rücken,-,the back
die,Kopfschmerzen,(Pl.),the headache
der,Schnupfen,-,the cold
die,Halsschmerzen,(Pl.),sore throat
der,Patient,-en,the patient
das,Rezept,-e,the recipe
das,Video,-s,the video
die,Variante,-n,the variant
die,Ärztin,-nen,the doctor
die,Krankheit,-en,the disease
das,Rollenspiel,-e,the rollplay
der,Schmerz,-en,the pain
das,Halsbonbon,-s,the throat candy
der,Hustensaft,-e,the cough syrup
die,Nasentropfen,(Pl.),the nose drops
die,Tablette,-n,the pill
das,Taschentuch,-er,the handkerchief
das,Medikament,-e,the drug
der,Esslöffel,-,the tablespoon
der,Tropfen,-,the drop
die,Bauchschmerzen,(Pl.),the stomach pain
die,Badehose,-n,the swimming trunks
der,Einzelunterricht,(Sg.),the individual lessons
die,Fitness,(Sg.),fitness
das,Krafttraining,-s,the strength training
der,Link,-s,the link
die,Sportsachen,(Pl.),the sports clothes
der,Trainer,-,the trainer
das,Training,-s,the workout
das,Yoga,(Sg.),the yoga
der,Konnektor,-en,the connector
das,Fitnessstudio,-s,the gym
das,Pflegeheim,-e,the nursing home
die,Pflegekraft,-e,the caregiver
der,Rettungsassistent,-en,the paramedic
das,Ergebnis,-se,the result
die,Jeans,-,the jeans
der,Mitarbeiter,-,the employee
die,Schwiegermutter,-,the mother in law
der,Aufzug,-e,the elevator
das,Doppelzimmer,-,double bedroom
das,Einzelzimmer,-,single room
das,Gepäck,(Sg.),the luggage
die,Halbpension,(Sg.),the half board
das,Hotel,-s,the hotel
der,Koffer,-,the suitcase
die,Kurzbiografie,-n,the short biography
das,W-Lan,(Sg.),the WiFi
der,Arbeitsalltag,(Sg.),day at work
die,Abreise,-n,the departure
die,Anreise,-n,the arrival
die,Hoteladresse,-n,the hotel address
das,Hotelzimmer,-,the hotel room
die,GmbH,-s,the GmbH
die,Patrone,-n,the bullet
das,Prospekt,-e,the prospectus
die,Rechnung,-en,the bill
das,Reisebüro,-s,the travel agency
die,Reservierung,-en,the reservation
der,Techniker,-,the technician
die,Techniker-Rechnung,-en,the technician invoice
die,To-Do-Liste,-n,the to-do list
die,Birne,-n,the pear
das,Öl,-e,the oil
das,Salz,-e,the salt
der,Schrank,-e,the cupboard
die,Treppe,-n,the stairs
das,Bier,-e,the beer
das,Hähnchen,-,the chicken
die,Intonation,-en,the intonation
der,Laut,-e,the sound
der,Silbenanfang,-e,the beginning of the syllable
die,Station,-en,the station
das,Wortende,-n,the end of the word
das,Businesscenter,-,the business center
die,Hotelkauffrau,-en,the hotel clerk
der,Hotelkaufmann,-er,the hotel clerk
die,Informatik,(Sg.),the IT
der,Kindergartenplatz,-e,the kindergarten place
die,Rezeption,-en,the reception
die,Softwarefirma,Softwarefirmen,the software company
das,Taxi,-s,the taxi
der,Zimmerservice,-s,the room service
die,Verbindung,-en,the connection
die,Arbeitsatmosphäre,-n,the working atmosphere
der,Arbeitsort,-e,the place of work
die,Bar,-s,the bar
der,Bereich,-e,the area
das,Bistro,-s,the bistro
das,Bürocenter,-,the office center
die,Englischkenntnisse,(Pl.),the knowledge of English
der,Flughafen,-,the airport
das,Frühstücksbüfett,-s,the breakfast buffet
der,Konferenzraum,-e,the conference room
der,Kunde,-n,the customer
der,Lebenslauf,-e,the resume
der,Nachtportier,-s,the night porter
die,S-Bahn,-en,the S-Bahn
die,Software,-s,the software
die,Stellenanzeige,-n,the job advertisement
der,Swimmingpool,-s,the swimming pool
der,Tarif,-e,the tariff
der,Traum,-e,the dream
der,Informatiker,-,the computer scientist
die,Konferenz,-en,the conference
der,Beginn,(Sg.),the beginning
der,Elektriker,-,the electrician
der,Tagungsraum,-e,the meeting room
der,Textteil,-e,the text part
das,Zeugnis,-se,the testimony
das,Radiointerview,-s,the radio interview
der,Mechaniker,-,the mechanic
die,Geschäftsleute,(Pl.),the business people
die,Großstadt,-e,the city
das,Hostel,-s,the hostel
die,Jugendherberge,-n,the hostel
das,Privatzimmer,-,the private room
der,Rezeptionist,-en,the receptionist
die,Sekunde,-n,the second
der,Fernseher,-,the TV
der,Antwortbogen,-,the answer sheet
die,Grußformel,-n,the salutation
der,Nachname,-n,last name
der,Kulturtipp,-s,the cultural tip
die,Rechtschreibung,(Sg.),the spelling
die,Verbposition,-en,the verb position
der,Cartoon,-s,the cartoon
die,Großmutter,-,the grandmother
der,Keks,-e,the cookie
der,Schal,-s,the scarf
die,WhatsApp-Nachricht,-en,the WhatsApp message
die,Berufsbiografie,-n,the professional biography
die,Lernbiografie,-n,the learning biography
die,Lerngeschichte,-n,the learning story
der,Lerntipp,-s,the learning tip
die,Fremdsprache,-n,foreign language
das,Musikinstrument,-e,the music instrument
die,Angst,-e,the fear
die,Freundschaft,-en,the friendship
der,Strand,-e,the beach
der,Inlineskate,-s,the inline skate
die,Präsentation,-en,the presentation
das,Sushi,-s,the sushi
die,Tauschbörse,-n,the exchange
der,Chor,-e,the choir
der,Hauptakzent,-e,the main accent
der,Elternabend,-e,the parents' evening
die,Grammatik,-en,the grammar
die,Kindersendung,-en,the children's show
der,Liedtext,-e,the lyrics
das,Lernplakat,-e,the learning poster
die,Fertigkeit,-en,the skill
das,Ideenkarussell,-s,the idea carousel
das,Abitur,(Sg.),the high school diploma
die,Computerfirma,Computerfirmen,the computer company
die,Deutschlehrerin,-nen,the German teacher
das,Dorf,-er,the village
das,Klavier,-e,the piano
die,Theatergruppe,-n,the theater group
das,Theaterstück,-e,the play
die,Universität,-en,the University
die,Dult,-en,the Dult
der,Glücksmoment,-e,the moment of happiness
das,Kettenkarussell,-s,the chain carousel
das,Oktoberfest,-e,the Octoberfest
das,Riesenrad,-er,The Ferris wheel
die,Achterbahn,-en,the roller-coaster
das,Volksfest,-e,the folk festival
die,Zuckerwatte,-n,the cotton candy
das,Elfchen-Gedicht,-e,the elf poem
das,Karussell,-s,the carousel
die,Losbude,-n,the lottery booth
der,Würstchenstand,-e,the sausage stand
der,Gartenzwerg,-e,the garden gnome
der,Gewinn,-e,the profit
die,Niete,-n,the rivet
die,Verlosung,-en,the raffle
der,Zucker-Apfel,-,the sugar apple
das,Herz,-en,the heart
das,Lebkuchenherz,-en,the gingerbread heart
die,Schokobanane,-n,the chocolate banana
das,Bilder-Paar,-e,the pair of pictures
die,Schrift,-en,the font
der,Teddybär,-en,the teddybear
das,Kartenspiel,-e,the card game
das,Ding,-e,the thing
der,Empfänger,-,recipient
der,Brief,-e,the letter
der,Club,-s,the club
das,Ticket,-s,the ticket
das,Silbenende,-n,the end of the syllable
das,Wortpaar,-e,the word pair
der,Dankesbrief,-e,the thank you letter
der,Wortigel,-,the word hedgehog
die,Umfrage,-n,the survey
das,Videospiel,-e,the videogame
die,Gemeinsamkeit,-en,the similarity
das,Elfchen,-,the elf
das,Privatleben,-,private life
das,Memory®,-s,the Memory®
die,Memory®-Karte,-n,the Memory® card
das,Domino,-s,the domino
der,Esstisch,-e,the dining table
die,Esszimmerwoche,-n,the dining room week
der,Flug,-e,the flight
die,Kleidung,(Sg.),the clothing
das,Möbel,-,the furniture
der,Schwimmer,-,the swimmer
die,Sportart,-en,type of sport
die,Welt,-en,the world
die,Bildung,(Sg.),the education
das,Fotobuch,-er,the photo book
das,Kochbuch,-er,the cookbook
das,Kulturprogramm,-e,the cultural program
die,Kunst,-e,art
das,Schulbuch,-er,the school book
das,Sommerfest,-e,the summer festival
der,Ticketservice,-s,the ticket service
die,Bushaltestelle,-n,the bus stop
die,Illustration,-en,the illustration
der,Modelltest,-s,the model test
